species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,0,1,0.001,-1.7616038260761187,1,1
bird1,0,1,0.01,-1.76160386459527,1,1
bird1,0,1,0.1,-1.7616042501162708,1,1
bird1,1,1,0.001,-0.7867812775463385,9,8
bird1,1,1,0.01,-0.7867840988750159,9,8
bird1,1,1,0.1,-0.7868128682568649,9,8
bird1,2,1,0.001,-0.7424388395098114,72,32
bird1,2,1,0.01,-0.7417581123774659,72,32
bird1,2,1,0.1,-0.7413488350140661,72,32
bird1,3,1,0.001,-0.7310984340840231,576,70
bird1,3,1,0.01,-0.7304571498171798,576,70
bird1,3,1,0.1,-0.7305824427500909,576,70
bird1,4,1,0.001,-0.7309666720963545,4608,119
bird1,4,1,0.01,-0.7285567752525839,4608,119
bird1,4,1,0.1,-0.7281007388344977,4608,119
bird1,5,1,0.001,-0.7485593250626909,36864,194
bird1,5,1,0.01,-0.7406301892590036,36864,194
bird1,5,1,0.1,-0.7367294672825198,36864,194
bird1,0,2,0.001,-1.759322167051495,1,1
bird1,0,2,0.01,-1.7593221696788013,1,1
bird1,0,2,0.1,-1.7593221963869003,1,1
bird1,1,2,0.001,-0.7901215669747841,9,8
bird1,1,2,0.01,-0.7894516302022025,9,8
bird1,1,2,0.1,-0.7888015391166603,9,8
bird1,2,2,0.001,-0.7447679757381999,72,39
bird1,2,2,0.01,-0.7434178385537864,72,39
bird1,2,2,0.1,-0.7425640137495433,72,39
bird1,3,2,0.001,-0.7366552974041998,576,84
bird1,3,2,0.01,-0.7335094073082514,576,84
bird1,3,2,0.1,-0.7314338250070347,576,84
bird1,4,2,0.001,-0.7397218815443032,4608,145
bird1,4,2,0.01,-0.7359847762185588,4608,145
bird1,4,2,0.1,-0.7337811315645395,4608,145
bird1,5,2,0.001,-0.7501336630287644,36864,216
bird1,5,2,0.01,-0.7440610594648243,36864,216
bird1,5,2,0.1,-0.7406502241373192,36864,216
bird1,0,3,0.001,-1.7739610737173426,1,1
bird1,0,3,0.01,-1.773960997457035,1,1
bird1,0,3,0.1,-1.773960235412172,1,1
bird1,1,3,0.001,-0.7870618786437338,9,8
bird1,1,3,0.01,-0.7868910486715412,9,8
bird1,1,3,0.1,-0.7867466618122144,9,8
bird1,2,3,0.001,-0.7464827585472232,72,35
bird1,2,3,0.01,-0.7443425380452137,72,35
bird1,2,3,0.1,-0.742602648664031,72,35
bird1,3,3,0.001,-0.7332909971112593,576,77
bird1,3,3,0.01,-0.7306025341416449,576,77
bird1,3,3,0.1,-0.7291306313452641,576,77
bird1,4,3,0.001,-0.737012389522659,4608,131
bird1,4,3,0.01,-0.7329950919624565,4608,131
bird1,4,3,0.1,-0.7310767365513872,4608,131
bird1,5,3,0.001,-0.7606299722082319,36864,200
bird1,5,3,0.01,-0.7490825006299224,36864,200
bird1,5,3,0.1,-0.7418911148187157,36864,200
bird1,0,4,0.001,-1.763019340871331,1,1
bird1,0,4,0.01,-1.7630193466861492,1,1
bird1,0,4,0.1,-1.7630194052449804,1,1
bird1,1,4,0.001,-0.7923255458757597,9,8
bird1,1,4,0.01,-0.791655614798009,9,8
bird1,1,4,0.1,-0.7909897317195981,9,8
bird1,2,4,0.001,-0.7515929091566574,72,41
bird1,2,4,0.01,-0.7488464757555782,72,41
bird1,2,4,0.1,-0.7465318771113061,72,41
bird1,3,4,0.001,-0.7395657928628006,576,83
bird1,3,4,0.01,-0.7360837838600268,576,83
bird1,3,4,0.1,-0.7337655757653738,576,83
bird1,4,4,0.001,-0.7440799715389553,4608,136
bird1,4,4,0.01,-0.7380329091956079,4608,136
bird1,4,4,0.1,-0.7343596733086631,4608,136
bird1,5,4,0.001,-0.748782544837147,36864,197
bird1,5,4,0.01,-0.7420800093123809,36864,197
bird1,5,4,0.1,-0.7387517937344436,36864,197
bird1,0,5,0.001,-1.795335325979387,1,1
bird1,0,5,0.01,-1.7953351508504205,1,1
bird1,0,5,0.1,-1.7953334002073282,1,1
bird1,1,5,0.001,-0.8003101869756523,9,8
bird1,1,5,0.01,-0.8003123258961536,9,8
bird1,1,5,0.1,-0.8003341535572204,9,8
bird1,2,5,0.001,-0.7560564211499671,72,33
bird1,2,5,0.01,-0.7541253817607962,72,33
bird1,2,5,0.1,-0.752574688673766,72,33
bird1,3,5,0.001,-0.7434015174158375,576,78
bird1,3,5,0.01,-0.7416697837578683,576,78
bird1,3,5,0.1,-0.7409924941589634,576,78
bird1,4,5,0.001,-0.7496349094683612,4608,143
bird1,4,5,0.01,-0.7438860347807368,4608,143
bird1,4,5,0.1,-0.7410394896392698,4608,143
bird1,5,5,0.001,-0.7721944074084568,36864,219
bird1,5,5,0.01,-0.7614301239639257,36864,219
bird1,5,5,0.1,-0.7552650548803347,36864,219
bird1,0,6,0.001,-1.747316052933012,1,1
bird1,0,6,0.01,-1.7473161406569078,1,1
bird1,0,6,0.1,-1.7473170182026918,1,1
bird1,1,6,0.001,-0.784281128087756,9,8
bird1,1,6,0.01,-0.7839503898761622,9,8
bird1,1,6,0.1,-0.7836518650980471,9,8
bird1,2,6,0.001,-0.7434325022296218,72,34
bird1,2,6,0.01,-0.7418885009130872,72,34
bird1,2,6,0.1,-0.7406250306377133,72,34
bird1,3,6,0.001,-0.7329903239698764,576,77
bird1,3,6,0.01,-0.7305473528131738,576,77
bird1,3,6,0.1,-0.7289727107421674,576,77
bird1,4,6,0.001,-0.7344145755148841,4608,130
bird1,4,6,0.01,-0.7310483686428808,4608,130
bird1,4,6,0.1,-0.729202349440542,4608,130
bird1,5,6,0.001,-0.7412807610511691,36864,196
bird1,5,6,0.01,-0.7354482398954332,36864,196
bird1,5,6,0.1,-0.7326430509543003,36864,196
bird1,0,7,0.001,-1.7725117720513066,1,1
bird1,0,7,0.01,-1.7725116834040935,1,1
bird1,0,7,0.1,-1.7725107975665588,1,1
bird1,1,7,0.001,-0.7847649574766579,9,8
bird1,1,7,0.01,-0.7846106886033071,9,8
bird1,1,7,0.1,-0.7844836775446847,9,8
bird1,2,7,0.001,-0.740241224826714,72,36
bird1,2,7,0.01,-0.7388097225847399,72,36
bird1,2,7,0.1,-0.7377722797483707,72,36
bird1,3,7,0.001,-0.7272058662732198,576,78
bird1,3,7,0.01,-0.7252813728167223,576,78
bird1,3,7,0.1,-0.7242822492276988,576,78
bird1,4,7,0.001,-0.7246398019525803,4608,133
bird1,4,7,0.01,-0.7225727711223116,4608,133
bird1,4,7,0.1,-0.7221052978325797,4608,133
bird1,5,7,0.001,-0.7315569909781312,36864,204
bird1,5,7,0.01,-0.7279418822618611,36864,204
bird1,5,7,0.1,-0.7271250958862254,36864,204
bird1,0,8,0.001,-1.7823562938025999,1,1
bird1,0,8,0.01,-1.782356218611054,1,1
bird1,0,8,0.1,-1.782355467217519,1,1
bird1,1,8,0.001,-0.7900166098185001,9,8
bird1,1,8,0.01,-0.7898540933087235,9,8
bird1,1,8,0.1,-0.7897069633843324,9,8
bird1,2,8,0.001,-0.7463641825299606,72,35
bird1,2,8,0.01,-0.744700121529484,72,35
bird1,2,8,0.1,-0.7435250618180911,72,35
bird1,3,8,0.001,-0.7330315013940394,576,79
bird1,3,8,0.01,-0.7313684795170087,576,79
bird1,3,8,0.1,-0.7306726032878437,576,79
bird1,4,8,0.001,-0.7337244799293512,4608,135
bird1,4,8,0.01,-0.7308444604275731,4608,135
bird1,4,8,0.1,-0.7298434105674545,4608,135
bird1,5,8,0.001,-0.74909589328834,36864,205
bird1,5,8,0.01,-0.7419248275276225,36864,205
bird1,5,8,0.1,-0.7383837932622968,36864,205
bird1,0,9,0.001,-1.7773683750826643,1,1
bird1,0,9,0.01,-1.7773683304526067,1,1
bird1,0,9,0.1,-1.7773678846311773,1,1
bird1,1,9,0.001,-0.7867422198137677,9,8
bird1,1,9,0.01,-0.7860965928020844,9,8
bird1,1,9,0.1,-0.7854812963297805,9,8
bird1,2,9,0.001,-0.7464970443078413,72,37
bird1,2,9,0.01,-0.7439920617207609,72,37
bird1,2,9,0.1,-0.7418294809924327,72,37
bird1,3,9,0.001,-0.7355111806287123,576,81
bird1,3,9,0.01,-0.7317859383437222,576,81
bird1,3,9,0.1,-0.7290826506176681,576,81
bird1,4,9,0.001,-0.7384362080410267,4608,135
bird1,4,9,0.01,-0.7341446330279947,4608,135
bird1,4,9,0.1,-0.7316716300555665,4608,135
bird1,5,9,0.001,-0.7488177135923703,36864,201
bird1,5,9,0.01,-0.7424397614091549,36864,201
bird1,5,9,0.1,-0.7390011251209155,36864,201
bird1,0,10,0.001,-1.7664850396223954,1,1
bird1,0,10,0.01,-1.7664849570147751,1,1
bird1,0,10,0.1,-1.7664841315714832,1,1
bird1,1,10,0.001,-0.7846110241879707,9,8
bird1,1,10,0.01,-0.784285351039168,9,8
bird1,1,10,0.1,-0.7839901829221105,9,8
bird1,2,10,0.001,-0.743798272572828,72,36
bird1,2,10,0.01,-0.7421202691732267,72,36
bird1,2,10,0.1,-0.7408279926274919,72,36
bird1,3,10,0.001,-0.7357988775772418,576,74
bird1,3,10,0.01,-0.7304365780216691,576,74
bird1,3,10,0.1,-0.7263955020485305,576,74
bird1,4,10,0.001,-0.7337255382530704,4608,131
bird1,4,10,0.01,-0.729196153602001,4608,131
bird1,4,10,0.1,-0.7266210381821241,4608,131
bird1,5,10,0.001,-0.7404407954040257,36864,198
bird1,5,10,0.01,-0.733634254884832,36864,198
bird1,5,10,0.1,-0.7301731238285809,36864,198
bird1,0,11,0.001,-1.7667389588372138,1,1
bird1,0,11,0.01,-1.7667389448187703,1,1
bird1,0,11,0.1,-1.76673880506539,1,1
bird1,1,11,0.001,-0.7827964440306433,9,8
bird1,1,11,0.01,-0.782631336449345,9,8
bird1,1,11,0.1,-0.7824962525049001,9,8
bird1,2,11,0.001,-0.7427528768956514,72,32
bird1,2,11,0.01,-0.7412022275766007,72,32
bird1,2,11,0.1,-0.7400061923199647,72,32
bird1,3,11,0.001,-0.7258786360731239,576,74
bird1,3,11,0.01,-0.7243321858960687,576,74
bird1,3,11,0.1,-0.7236435491397275,576,74
bird1,4,11,0.001,-0.7296110327330784,4608,126
bird1,4,11,0.01,-0.7266098095630696,4608,126
bird1,4,11,0.1,-0.725296779929404,4608,126
bird1,5,11,0.001,-0.7402657481651782,36864,195
bird1,5,11,0.01,-0.7343873420633651,36864,195
bird1,5,11,0.1,-0.731623933542142,36864,195
bird1,0,12,0.001,-1.767434147313828,1,1
bird1,0,12,0.01,-1.767434162384493,1,1
bird1,0,12,0.1,-1.7674343134654553,1,1
bird1,1,12,0.001,-0.7841317370324248,9,8
bird1,1,12,0.01,-0.7838080964116023,9,8
bird1,1,12,0.1,-0.7835106187322531,9,8
bird1,2,12,0.001,-0.7403755405489916,72,35
bird1,2,12,0.01,-0.7390379726827547,72,35
bird1,2,12,0.1,-0.738002431591765,72,35
bird1,3,12,0.001,-0.7310871927701491,576,76
bird1,3,12,0.01,-0.7283779600399982,576,76
bird1,3,12,0.1,-0.7267287508308681,576,76
bird1,4,12,0.001,-0.7422209328098888,4608,134
bird1,4,12,0.01,-0.7359955567003327,4608,134
bird1,4,12,0.1,-0.7323282131386853,4608,134
bird1,5,12,0.001,-0.7548295907368114,36864,210
bird1,5,12,0.01,-0.7456844352513234,36864,210
bird1,5,12,0.1,-0.7404976787306633,36864,210
bird1,0,13,0.001,-1.7816764519834662,1,1
bird1,0,13,0.01,-1.781676331093656,1,1
