species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,0,1,0.001,-1.7686357951862997,1,1
bird1,0,1,0.01,-1.7686357404694906,1,1
bird1,0,1,0.1,-1.7686351938551759,1,1
bird1,1,1,0.001,-0.7878636136716742,9,8
bird1,1,1,0.01,-0.7872107288509241,9,8
bird1,1,1,0.1,-0.7865881912570073,9,8
bird1,2,1,0.001,-0.742944872915362,72,38
bird1,2,1,0.01,-0.7417781775745111,72,38
bird1,2,1,0.1,-0.7409042229842627,72,38
bird1,3,1,0.001,-0.728481124336024,576,78
bird1,3,1,0.01,-0.7264806564902336,576,78
bird1,3,1,0.1,-0.7255135378967265,576,78
bird1,4,1,0.001,-0.7285066107484639,4608,137
bird1,4,1,0.01,-0.7256327031454494,4608,137
bird1,4,1,0.1,-0.7246143927987643,4608,137
bird1,5,1,0.001,-0.7427295534039652,36864,201
bird1,5,1,0.01,-0.7361573591964061,36864,201
bird1,5,1,0.1,-0.7328798353785854,36864,201
bird1,0,2,0.001,-1.7506982690334376,1,1
bird1,0,2,0.01,-1.7506983802730243,1,1
bird1,0,2,0.1,-1.7506994929137782,1,1
bird1,1,2,0.001,-0.7897795409254491,9,8
bird1,1,2,0.01,-0.7897819564543073,9,8
bird1,1,2,0.1,-0.7898066307944261,9,8
bird1,2,2,0.001,-0.747977829107354,72,33
bird1,2,2,0.01,-0.7466034927257731,72,33
bird1,2,2,0.1,-0.74552907516136,72,33
bird1,3,2,0.001,-0.7392531976214003,576,72
bird1,3,2,0.01,-0.7373587795486284,576,72
bird1,3,2,0.1,-0.7363651803415858,576,72
bird1,4,2,0.001,-0.7437838805593121,4608,131
bird1,4,2,0.01,-0.7397172019335879,4608,131
bird1,4,2,0.1,-0.737641934246835,4608,131
bird1,5,2,0.001,-0.7594536256771843,36864,210
bird1,5,2,0.01,-0.7508507419212116,36864,210
bird1,5,2,0.1,-0.7464536546254723,36864,210
bird1,0,3,0.001,-1.7737130037269806,1,1
bird1,0,3,0.01,-1.7737129127301237,1,1
bird1,0,3,0.1,-1.7737120033265705,1,1
bird1,1,3,0.001,-0.7926942306508918,9,8
bird1,1,3,0.01,-0.7923554379393115,9,8
bird1,1,3,0.1,-0.792044350259289,9,8
bird1,2,3,0.001,-0.7468201359871328,72,34
bird1,2,3,0.01,-0.7448959530427028,72,34
bird1,2,3,0.1,-0.7433645894221773,72,34
bird1,3,3,0.001,-0.7341698761319949,576,73
bird1,3,3,0.01,-0.7318729166672471,576,73
bird1,3,3,0.1,-0.730606571587761,576,73
bird1,4,3,0.001,-0.7388931907629099,4608,126
bird1,4,3,0.01,-0.7336255193963442,4608,126
bird1,4,3,0.1,-0.7305172393375219,4608,126
bird1,5,3,0.001,-0.7474534282663451,36864,189
bird1,5,3,0.01,-0.7403282860674373,36864,189
bird1,5,3,0.1,-0.7364837463570724,36864,189
bird1,0,4,0.001,-1.7633669896324675,1,1
bird1,0,4,0.01,-1.763367008588145,1,1
bird1,0,4,0.1,-1.7633671985295631,1,1
bird1,1,4,0.001,-0.7965378850599638,9,8
bird1,1,4,0.01,-0.7958980153014823,9,8
bird1,1,4,0.1,-0.7952834506491548,9,8
bird1,2,4,0.001,-0.7545339844140704,72,36
bird1,2,4,0.01,-0.7528852913350386,72,36
bird1,2,4,0.1,-0.7515353886015603,72,36
bird1,3,4,0.001,-0.7445995319107671,576,81
bird1,3,4,0.01,-0.742658524333548,576,81
bird1,3,4,0.1,-0.7419239570805685,576,81
bird1,4,4,0.001,-0.7493390775267557,4608,140
bird1,4,4,0.01,-0.7453432637553472,4608,140
bird1,4,4,0.1,-0.7436636643799913,4608,140
bird1,5,4,0.001,-0.7668764250315372,36864,217
bird1,5,4,0.01,-0.7581817599362449,36864,217
