species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,0,1,0.001,-1.938697372039431,1,1
bird1,0,1,0.01,-1.9386973659701672,1,1
bird1,0,1,0.1,-1.9386973054160963,1,1
bird1,1,1,0.001,-0.7270821127483178,9,8
bird1,1,1,0.01,-0.7266904687108593,9,8
bird1,1,1,0.1,-0.7263217434582955,9,8
bird1,2,1,0.001,-0.7066875298646315,72,36
bird1,2,1,0.01,-0.7058662061590816,72,36
bird1,2,1,0.1,-0.7052825560091711,72,36
bird1,3,1,0.001,-0.692771415833006,576,85
bird1,3,1,0.01,-0.6907939244247161,576,85
bird1,3,1,0.1,-0.6896678420669173,576,85
bird1,4,1,0.001,-0.7115032284666348,4608,149
bird1,4,1,0.01,-0.7077031667290619,4608,149
bird1,4,1,0.1,-0.7054595062652016,4608,149
bird1,5,1,0.001,-0.7392685956136058,36864,231
bird1,5,1,0.01,-0.7324897711466883,36864,231
bird1,5,1,0.1,-0.7286020259156822,36864,231
bird1,0,2,0.001,-1.9286409423034696,1,1
bird1,0,2,0.01,-1.9286409557830284,1,1
bird1,0,2,0.1,-1.9286410907101896,1,1
bird1,1,2,0.001,-0.7283643409775392,9,8
bird1,1,2,0.01,-0.7282410870608218,9,8
bird1,1,2,0.1,-0.7281354779930025,9,8
bird1,2,2,0.001,-0.7053868657008212,72,36
bird1,2,2,0.01,-0.7044849567896379,72,36
bird1,2,2,0.1,-0.7038828023989274,72,36
bird1,3,2,0.001,-0.6872682798333886,576,83
bird1,3,2,0.01,-0.6851161450324297,576,83
bird1,3,2,0.1,-0.6837702154484752,576,83
bird1,4,2,0.001,-0.7042482439757253,4608,151
bird1,4,2,0.01,-0.7003728284085972,4608,151
bird1,4,2,0.1,-0.6981005860787665,4608,151
bird1,5,2,0.001,-0.7270141571929117,36864,238
bird1,5,2,0.01,-0.7202041473614084,36864,238
bird1,5,2,0.1,-0.7163684316081012,36864,238
bird1,0,3,0.001,-1.9372188714548648,1,1
bird1,0,3,0.01,-1.9372188732330733,1,1
bird1,0,3,0.1,-1.9372188911498602,1,1
bird1,1,3,0.001,-0.7244786191142215,9,8
bird1,1,3,0.01,-0.7243525166487581,9,8
bird1,1,3,0.1,-0.7242457435773146,9,8
bird1,2,3,0.001,-0.7068872910736034,72,34
bird1,2,3,0.01,-0.7059513925600928,72,34
bird1,2,3,0.1,-0.7052609614403683,72,34
bird1,3,3,0.001,-0.6955462091051257,576,78
bird1,3,3,0.01,-0.6923130112968786,576,78
bird1,3,3,0.1,-0.6898908602057321,576,78
bird1,4,3,0.001,-0.7122995262946009,4608,149
bird1,4,3,0.01,-0.7072358490483075,4608,149
bird1,4,3,0.1,-0.7040405604347999,4608,149
bird1,5,3,0.001,-0.7486930769754028,36864,237
bird1,5,3,0.01,-0.7383863067284915,36864,237
bird1,5,3,0.1,-0.7314483962617753,36864,237
bird1,0,4,0.001,-1.9445336631398489,1,1
bird1,0,4,0.01,-1.944533651775536,1,1
bird1,0,4,0.1,-1.9445335382708477,1,1
bird1,1,4,0.001,-0.7202102136344838,9,8
bird1,1,4,0.01,-0.7202117773421749,9,8
bird1,1,4,0.1,-0.7202281515147445,9,8
bird1,2,4,0.001,-0.7033825853709874,72,34
bird1,2,4,0.01,-0.7025754937696237,72,34
bird1,2,4,0.1,-0.7020232615782265,72,34
bird1,3,4,0.001,-0.683598730467921,576,80
bird1,3,4,0.01,-0.6820903392604775,576,80
bird1,3,4,0.1,-0.681422963711611,576,80
bird1,4,4,0.001,-0.7048524845204149,4608,143
bird1,4,4,0.01,-0.6992049777135173,4608,143
bird1,4,4,0.1,-0.6960500177133782,4608,143
bird1,5,4,0.001,-0.7264528650429619,36864,222
bird1,5,4,0.01,-0.7202009824751483,36864,222
bird1,5,4,0.1,-0.7175530597608644,36864,222
bird1,0,5,0.001,-1.941487225600483,1,1
bird1,0,5,0.01,-1.9414872176405265,1,1
bird1,0,5,0.1,-1.9414871381797718,1,1
bird1,1,5,0.001,-0.7222948959773324,9,8
bird1,1,5,0.01,-0.7222971937413428,9,8
bird1,1,5,0.1,-0.7223204820943407,9,8
