,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
0,bird1,0,1,0.001,-1.7261344495745998,1,1
1,bird1,0,1,0.001,-1.7261344495745998,1,1
2,bird1,0,2,0.001,-1.7261344495745998,1,1
3,bird1,0,3,0.001,-1.7261344495745998,1,1
4,bird1,0,4,0.001,-1.7261344495745998,1,1
5,bird1,0,5,0.001,-1.7261344495745998,1,1
6,bird1,0,6,0.001,-1.7261344495745998,1,1
7,bird1,0,7,0.001,-1.7261344495745998,1,1
8,bird1,0,8,0.001,-1.7261344495745998,1,1
9,bird1,0,9,0.001,-1.7261344495745998,1,1
10,bird1,0,10,0.001,-1.7261344495745998,1,1
11,bird1,0,1,0.01,-1.7261344525161169,1,1
12,bird1,0,1,0.01,-1.7261344525161169,1,1
13,bird1,0,2,0.01,-1.7261344525161169,1,1
14,bird1,0,3,0.01,-1.7261344525161169,1,1
15,bird1,0,4,0.01,-1.7261344525161169,1,1
16,bird1,0,5,0.01,-1.7261344525161169,1,1
17,bird1,0,6,0.01,-1.7261344525161169,1,1
18,bird1,0,7,0.01,-1.7261344525161169,1,1
19,bird1,0,8,0.01,-1.7261344525161169,1,1
20,bird1,0,9,0.01,-1.7261344525161169,1,1
21,bird1,0,10,0.01,-1.7261344525161169,1,1
22,bird1,0,1,0.1,-1.7261344822004225,1,1
23,bird1,0,1,0.1,-1.7261344822004225,1,1
24,bird1,0,2,0.1,-1.7261344822004225,1,1
25,bird1,0,3,0.1,-1.7261344822004225,1,1
26,bird1,0,4,0.1,-1.7261344822004225,1,1
27,bird1,0,5,0.1,-1.7261344822004225,1,1
28,bird1,0,6,0.1,-1.7261344822004225,1,1
29,bird1,0,7,0.1,-1.7261344822004225,1,1
30,bird1,0,8,0.1,-1.7261344822004225,1,1
31,bird1,0,9,0.1,-1.7261344822004225,1,1
32,bird1,0,10,0.1,-1.7261344822004225,1,1
33,bird1,1,1,0.001,-0.7477124573036056,8,8
34,bird1,1,1,0.001,-0.7477124573036056,8,8
35,bird1,1,2,0.001,-0.7486246778974042,8,8
36,bird1,1,3,0.001,-0.7518329565811361,8,8
37,bird1,1,4,0.001,-0.7552502410253943,8,8
38,bird1,1,5,0.001,-0.7573000822599241,8,8
39,bird1,1,6,0.001,-0.7564657893436082,8,8
40,bird1,1,7,0.001,-0.7543890031526533,8,8
41,bird1,1,8,0.001,-0.7553164515874331,8,8
42,bird1,1,9,0.001,-0.7551289947403593,8,8
43,bird1,1,10,0.001,-0.7557952239409363,8,8
44,bird1,1,1,0.01,-0.7475479700500527,8,8
45,bird1,1,1,0.01,-0.7475479700500527,8,8
46,bird1,1,2,0.01,-0.7484585968807109,8,8
47,bird1,1,3,0.01,-0.7516653291709486,8,8
48,bird1,1,4,0.01,-0.7550808802158335,8,8
49,bird1,1,5,0.01,-0.7571289431423892,8,8
50,bird1,1,6,0.01,-0.7562929242385164,8,8
51,bird1,1,7,0.01,-0.75421476308908,8,8
52,bird1,1,8,0.01,-0.755140439148941,8,8
53,bird1,1,9,0.01,-0.7549509947246055,8,8
54,bird1,1,10,0.01,-0.7556153494963064,8,8
55,bird1,1,1,0.1,-0.7474144685677974,8,8
56,bird1,1,1,0.1,-0.7474144685677974,8,8
57,bird1,1,2,0.1,-0.7483236315443178,8,8
58,bird1,1,3,0.1,-0.7515296472466407,8,8
59,bird1,1,4,0.1,-0.7549428985812446,8,8
60,bird1,1,5,0.1,-0.756988509495628,8,8
61,bird1,1,6,0.1,-0.7561508691483955,8,8
62,bird1,1,7,0.1,-0.7540748626893087,8,8
63,bird1,1,8,0.1,-0.7549990797361589,8,8
64,bird1,1,9,0.1,-0.754806380262042,8,8
65,bird1,1,10,0.1,-0.7554689343033909,8,8
66,bird1,2,1,0.001,-0.6463966719005795,64,41
67,bird1,2,1,0.001,-0.6463966719005795,64,41
