,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
0,1,0.1,10,0,0,-6.249941406765764e-06,1,0.00023688639401577425,2,semicol,
1,1,0.1,10,0,0,-0.07111537376542967,1,0.1382986242918472,2,lagged,0.0
2,1,0.1,50,0,0,-0.1467513546563099,1,0.20967608783099004,2,semicol,
3,1,0.1,50,0,3,-0.5780124812066153,0,0.8484887735651138,2,lagged,50.0
4,1,0.1,100,0,0,-6.312691355551915e-05,1,0.00038370223190337945,2,semicol,
5,1,0.1,100,0,4,-0.4964907107221043,0,0.7407012924348498,2,lagged,30.0
6,1,0.5,10,0,2,-0.43471992821914507,0,0.6618520225279271,2,semicol,
7,1,0.5,10,0,3,-0.21564399138384316,0,0.4349075298845531,2,lagged,50.0
8,1,0.5,50,0,0,-0.6930114578894436,1,0.9999004372290812,2,semicol,
9,1,0.5,50,0,3,-0.21642846442026142,0,0.35312230193483257,2,lagged,50.0
10,1,0.5,100,0,3,-0.24997538121637836,0,0.3646467815608097,2,semicol,
11,1,0.5,100,0,3,-0.6873044682810209,0,0.996113526124817,2,lagged,50.0
12,1,1.0,10,0,4,-0.23068173327267072,0,0.35994455680918974,2,semicol,
13,1,1.0,10,0,0,-0.6894967220596491,1,0.9954164122391793,2,lagged,0.0
14,1,1.0,50,0,4,-0.6910314041370161,0,0.9961490863638272,2,semicol,
15,1,1.0,50,0,1,-0.6269529013032473,0,0.9050327131072186,2,lagged,50.0
16,1,1.0,100,0,2,-0.5582229125795373,0,0.8196026710423695,2,semicol,
17,1,1.0,100,0,0,-0.6917528323458716,1,0.9907554926974487,2,lagged,0.0
18,1,0.1,10,0,1,-0.3860949707960936,0,0.3314936507862173,3,semicol,
19,1,0.1,10,0,0,-1.2499843752058261e-05,1,1.233409555798475e-07,3,lagged,0.0
20,1,0.1,50,0,4,-0.00042855664521737987,0,0.022601038313562503,3,semicol,
21,1,0.1,50,0,4,-0.03474114358664268,0,0.03265040876412549,3,lagged,30.0
22,1,0.1,100,0,4,-0.0008672255440509371,0,0.009610111814718937,3,semicol,
23,1,0.1,100,0,3,-5.003727777202966e-06,0,0.0011255785486387507,3,lagged,50.0
24,1,0.5,10,0,1,-0.7221363488384317,0,0.6472125824325485,3,semicol,
25,1,0.5,10,0,3,-0.7834491671386462,0,0.7572923310148256,3,lagged,30.0
26,1,0.5,50,0,2,-0.7675838633298793,0,0.6886957377014346,3,semicol,
27,1,0.5,50,0,1,-0.20639808162009698,0,0.16983574510512583,3,lagged,0.0
28,1,0.5,100,0,0,-0.7491753618058917,1,0.6815634054026454,3,semicol,
29,1,0.5,100,0,1,-0.9714967755562419,0,0.8929560538424662,3,lagged,50.0
30,1,1.0,10,0,0,-0.8426563415074583,1,0.8018218243174954,3,semicol,
31,1,1.0,10,0,2,-0.7836807095272701,0,0.7379976931630531,3,lagged,20.0
32,1,1.0,50,0,0,-1.0291012909287047,1,0.947553352602573,3,semicol,
33,1,1.0,50,0,2,-0.743956329644284,0,0.6785314294784772,3,lagged,30.0
34,1,1.0,100,0,2,-0.738800238435036,0,0.6665901374165508,3,semicol,
35,1,1.0,100,0,0,-0.7788252806682173,1,0.716171948555508,3,lagged,0.0
36,1,0.1,10,0,3,-0.9367860892679251,0,0.6535048560706174,4,semicol,
37,1,0.1,10,0,1,-0.8021002689233154,0,0.5984018969343357,4,lagged,0.0
38,1,0.1,50,0,3,-0.06698992832642872,0,0.05649012807631127,4,semicol,
39,1,0.1,50,0,3,-0.000531323436111033,0,0.005456507349980947,4,lagged,50.0
40,1,0.1,100,0,4,-0.007932543043875813,0,0.01154610714004101,4,semicol,
41,1,0.1,100,0,2,-0.5621032339796326,0,0.4217569340959611,4,lagged,30.0
42,1,0.5,10,0,2,-0.8078498982467274,0,0.6032510802910422,4,semicol,
43,1,0.5,10,0,0,-0.6453696494112083,1,0.45554072380443095,4,lagged,0.0
44,1,0.5,50,0,0,-1.2279418695789215,1,0.8789971519336568,4,semicol,
45,1,0.5,50,0,3,-0.5909554047702208,0,0.4297315795764291,4,lagged,50.0
46,1,0.5,100,0,0,-0.959637557218053,1,0.6747778735505668,4,semicol,
47,1,0.5,100,0,2,-0.8333375481296519,0,0.6070755317949418,4,lagged,50.0
48,1,1.0,10,0,0,-1.0999653108992242,1,0.8033031454180919,4,semicol,
49,1,1.0,10,0,1,-1.1968116645556075,0,0.8848093462860149,4,lagged,0.0
50,1,1.0,50,0,3,-0.6914021685719911,0,0.5000344939964013,4,semicol,
51,1,1.0,50,0,2,-0.9185672987675739,0,0.6599957203578042,4,lagged,50.0
52,1,1.0,100,0,2,-1.3135773250796918,0,0.9487335689520421,4,semicol,
53,1,1.0,100,0,1,-1.1394969424028825,0,0.8289992070131622,4,lagged,0.0
54,1,0.1,10,0,0,-2.4999531260090636e-05,1,4.4163900685610125e-07,5,semicol,
55,1,0.1,10,0,1,-0.7139220498737673,0,0.4530133056483805,5,lagged,50.0
56,1,0.1,50,0,2,-0.09189789887422617,0,0.059264653681766956,5,semicol,
57,1,0.1,50,0,3,-0.5573515389677691,0,0.3516379608538277,5,lagged,30.0
58,1,0.1,100,0,0,-0.0005026247243386788,1,0.0019131892388846807,5,semicol,
59,1,0.1,100,0,3,-0.32020157132118077,0,0.20770842343758456,5,lagged,50.0
60,1,0.5,10,0,0,-1.2560517717038069,1,0.7425067293743225,5,semicol,
61,1,0.5,10,0,0,-0.8691353887182962,1,0.5754419539848133,5,lagged,0.0
62,1,0.5,50,0,0,-1.4479980672697361,1,0.9038991271765663,5,semicol,
63,1,0.5,50,0,0,-0.7511310804343841,1,0.485783423860863,5,lagged,0.0
64,1,0.5,100,0,0,-0.859281131689842,1,0.5307193548040039,5,semicol,
65,1,0.5,100,0,3,-0.44705270481725123,0,0.2768290398630748,5,lagged,50.0
66,1,1.0,10,0,0,-1.2672102395808664,1,0.8038107379895653,5,semicol,
67,1,1.0,10,0,0,-1.253109645087827,1,0.7922956058665769,5,lagged,0.0
68,1,1.0,50,0,0,-1.4997224850072808,1,0.9317091258351837,5,semicol,
69,1,1.0,50,0,1,-1.0831237190934841,0,0.673396032037148,5,lagged,50.0
70,1,1.0,100,0,0,-1.131875545095244,1,0.7038562568678014,5,semicol,
71,1,1.0,100,0,0,-1.2391397124803103,1,0.7685849371818638,5,lagged,0.0
72,1,0.1,10,1,4,-0.18502542289914997,0,0.0,2,semicol,
73,1,0.1,10,1,1,-0.17212736143520488,1,0.0,2,lagged,30.0
74,1,0.1,50,1,4,-0.21367549962366694,0,0.0,2,semicol,
75,1,0.1,50,1,3,-0.15425519412742045,0,0.0,2,lagged,50.0
