species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bre,0,1,0.001,-2.2604592981601574,1,1
bre,0,1,0.01,-2.2604592178486143,1,1
bre,0,1,0.1,-2.260458415342368,1,1
bre,1,1,0.001,-0.09838393256533304,15,14
bre,1,1,0.01,-0.09838866584295629,15,14
bre,1,1,0.1,-0.09843622573240578,15,14
bre,2,1,0.001,-0.09476536110729002,210,65
bre,2,1,0.01,-0.09415829609727971,210,65
bre,2,1,0.1,-0.09419096644566745,210,65
bre,3,1,0.001,-0.11477162604118255,2940,188
bre,3,1,0.01,-0.11173044972952773,2940,188
bre,3,1,0.1,-0.11230028306252464,2940,188
bre,4,1,0.001,-0.34152414743001286,41160,326
bre,4,1,0.01,-0.33658345954946994,41160,326
bre,4,1,0.1,-0.3394703152585857,41160,326
bre,5,1,0.001,-0.829407137696221,576240,430
bre,5,1,0.01,-0.8237930287917411,576240,430
bre,5,1,0.1,-0.8361455627998057,576240,430
bre,0,2,0.001,-2.2856494253684616,1,1
bre,0,2,0.01,-2.285649389253606,1,1
bre,0,2,0.1,-2.2856490286336095,1,1
bre,1,2,0.001,-0.07416561344431122,15,14
bre,1,2,0.01,-0.0741713163950334,15,14
bre,1,2,0.1,-0.07422851260385781,15,14
bre,2,2,0.001,-0.07125477397826939,210,66
bre,2,2,0.01,-0.07093517719461497,210,66
bre,2,2,0.1,-0.07102317068812171,210,66
bre,3,2,0.001,-0.08912842563506437,2940,170
bre,3,2,0.01,-0.08718712947624858,2940,170
bre,3,2,0.1,-0.08738878927551386,2940,170
bre,4,2,0.001,-0.3767845970463413,41160,280
bre,4,2,0.01,-0.3714741459008355,41160,280
bre,4,2,0.1,-0.3739679983445248,41160,280
bre,5,2,0.001,-0.918757753756315,576240,350
bre,5,2,0.01,-0.912770802506839,576240,350
bre,5,2,0.1,-0.9137026473968352,576240,350
bre,0,3,0.001,-2.214846849293902,1,1
bre,0,3,0.01,-2.214846878315961,1,1
bre,0,3,0.1,-2.21484716900117,1,1
bre,1,3,0.001,-0.061351927170529334,15,14
bre,1,3,0.01,-0.06131738774663212,15,14
bre,1,3,0.1,-0.061336565225019166,15,14
bre,2,3,0.001,-0.07054601651947312,210,61
bre,2,3,0.01,-0.07029322672392639,210,61
bre,2,3,0.1,-0.07031661190033933,210,61
bre,3,3,0.001,-0.10020735115253522,2940,158
bre,3,3,0.01,-0.0987906821092149,2940,158
bre,3,3,0.1,-0.10035310307389117,2940,158
bre,4,3,0.001,-0.23409012362982298,41160,266
bre,4,3,0.01,-0.23129634359062412,41160,266
bre,4,3,0.1,-0.23476300194278976,41160,266
bre,5,3,0.001,-0.6343837448592105,576240,346
bre,5,3,0.01,-0.6314786479521598,576240,346
bre,5,3,0.1,-0.642608130300592,576240,346
bre,0,4,0.001,-2.3092654101794983,1,1
bre,0,4,0.01,-2.3092653560975003,1,1
bre,0,4,0.1,-2.309264815802132,1,1
bre,1,4,0.001,-0.08126426208981505,15,14
bre,1,4,0.01,-0.08127029032715476,15,14
bre,1,4,0.1,-0.08133058627754841,15,14
bre,2,4,0.001,-0.07703378456298875,210,63
bre,2,4,0.01,-0.07692992250701236,210,63
bre,2,4,0.1,-0.07711222381262216,210,63
bre,3,4,0.001,-0.09498718188197519,2940,174
bre,3,4,0.01,-0.09273365292330397,2940,174
bre,3,4,0.1,-0.09289457815684062,2940,174
bre,4,4,0.001,-0.25226846740763437,41160,306
bre,4,4,0.01,-0.24262924003579145,41160,306
bre,4,4,0.1,-0.23982007620695353,41160,306
bre,5,4,0.001,-0.8540371034827312,576240,413
bre,5,4,0.01,-0.8244052388723172,576240,413
bre,5,4,0.1,-0.8119281116142011,576240,413
bre,0,5,0.001,-2.1009990978828044,1,1
bre,0,5,0.01,-2.100999167991394,1,1
bre,0,5,0.1,-2.100999869575318,1,1
bre,1,5,0.001,-0.10334460977679777,15,14
bre,1,5,0.01,-0.10313096425866589,15,14
bre,1,5,0.1,-0.10295825906446354,15,14
bre,2,5,0.001,-0.10163867911343828,210,62
bre,2,5,0.01,-0.10103228763798126,210,62
bre,2,5,0.1,-0.10083704682878628,210,62
