,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
0,bre,0,1,0.001,-2.2365639590525412,1,1
1,bre,0,10,0.001,-2.2365639590525412,1,1
2,bre,0,20,0.001,-2.2365639590525412,1,1
3,bre,0,30,0.001,-2.2365639590525412,1,1
4,bre,0,40,0.001,-2.2365639590525412,1,1
5,bre,0,50,0.001,-2.2365639590525412,1,1
6,bre,0,60,0.001,-2.2365639590525412,1,1
7,bre,0,70,0.001,-2.2365639590525412,1,1
8,bre,0,80,0.001,-2.2365639590525412,1,1
9,bre,0,90,0.001,-2.2365639590525412,1,1
10,bre,0,100,0.001,-2.2365639590525412,1,1
11,bre,0,1,0.01,-2.2365639306373453,1,1
12,bre,0,10,0.01,-2.2365639306373453,1,1
13,bre,0,20,0.01,-2.2365639306373453,1,1
14,bre,0,30,0.01,-2.2365639306373453,1,1
15,bre,0,40,0.01,-2.2365639306373453,1,1
16,bre,0,50,0.01,-2.2365639306373453,1,1
17,bre,0,60,0.01,-2.2365639306373453,1,1
18,bre,0,70,0.01,-2.2365639306373453,1,1
19,bre,0,80,0.01,-2.2365639306373453,1,1
20,bre,0,90,0.01,-2.2365639306373453,1,1
21,bre,0,100,0.01,-2.2365639306373453,1,1
22,bre,0,1,0.1,-2.2365636464903456,1,1
23,bre,0,10,0.1,-2.2365636464903456,1,1
24,bre,0,20,0.1,-2.2365636464903456,1,1
25,bre,0,30,0.1,-2.2365636464903456,1,1
26,bre,0,40,0.1,-2.2365636464903456,1,1
27,bre,0,50,0.1,-2.2365636464903456,1,1
28,bre,0,60,0.1,-2.2365636464903456,1,1
29,bre,0,70,0.1,-2.2365636464903456,1,1
30,bre,0,80,0.1,-2.2365636464903456,1,1
31,bre,0,90,0.1,-2.2365636464903456,1,1
32,bre,0,100,0.1,-2.2365636464903456,1,1
33,bre,0,1,1.0,-2.236560805516121,1,1
34,bre,0,10,1.0,-2.236560805516121,1,1
35,bre,0,20,1.0,-2.236560805516121,1,1
36,bre,0,30,1.0,-2.236560805516121,1,1
37,bre,0,40,1.0,-2.236560805516121,1,1
38,bre,0,50,1.0,-2.236560805516121,1,1
39,bre,0,60,1.0,-2.236560805516121,1,1
40,bre,0,70,1.0,-2.236560805516121,1,1
41,bre,0,80,1.0,-2.236560805516121,1,1
42,bre,0,90,1.0,-2.236560805516121,1,1
43,bre,0,100,1.0,-2.236560805516121,1,1
44,bre,1,1,0.001,-0.06397412171472447,10,10
45,bre,1,10,0.001,-0.06421455335251083,10,10
46,bre,1,20,0.001,-0.06414451201364689,10,10
47,bre,1,30,0.001,-0.06419736937389992,10,10
48,bre,1,40,0.001,-0.06403488807089228,10,10
49,bre,1,50,0.001,-0.06411519990395857,10,10
50,bre,1,60,0.001,-0.06393638691341412,10,10
51,bre,1,70,0.001,-0.06391849096562661,10,10
52,bre,1,80,0.001,-0.0640890313170487,10,10
53,bre,1,90,0.001,-0.06369832356777815,10,10
54,bre,1,100,0.001,-0.06356957580950794,10,10
55,bre,1,1,0.01,-0.0639766189349259,10,10
56,bre,1,10,0.01,-0.06421706888679347,10,10
57,bre,1,20,0.01,-0.06414705053563463,10,10
58,bre,1,30,0.01,-0.06419993255331774,10,10
59,bre,1,40,0.01,-0.06403748665479705,10,10
60,bre,1,50,0.01,-0.0641177678733014,10,10
61,bre,1,60,0.01,-0.06393897885700672,10,10
62,bre,1,70,0.01,-0.06392109610924886,10,10
63,bre,1,80,0.01,-0.06409165559905405,10,10
64,bre,1,90,0.01,-0.06370097892417173,10,10
65,bre,1,100,0.01,-0.06357225611259719,10,10
66,bre,1,1,0.1,-0.06400163930802837,10,10
67,bre,1,10,0.1,-0.06424227273844822,10,10
68,bre,1,20,0.1,-0.06417248478487582,10,10
69,bre,1,30,0.1,-0.06422561385548198,10,10
70,bre,1,40,0.1,-0.06406352219465711,10,10
71,bre,1,50,0.1,-0.06414352003312998,10,10
72,bre,1,60,0.1,-0.06396497154599114,10,10
73,bre,1,70,0.1,-0.06394722170283015,10,10
74,bre,1,80,0.1,-0.06411797337038366,10,10
75,bre,1,90,0.1,-0.06372760803452177,10,10
76,bre,1,100,0.1,-0.06359913525601663,10,10
77,bre,1,1,1.0,-0.06425622206833995,10,10
78,bre,1,10,1.0,-0.06449872130172304,10,10
79,bre,1,20,1.0,-0.06443128550669334,10,10
80,bre,1,30,1.0,-0.0644869291525633,10,10
81,bre,1,40,1.0,-0.06432839633053017,10,10
82,bre,1,50,1.0,-0.06440717256023827,10,10
